t_sec,mx_T,my_T,mz_T,qw,qx,qy,qz,heading_deg_level
1764190616.783734,1.077500000e-04,2.517500000e-04,2.545000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.171
1764190616.804640,1.077500000e-04,2.517500000e-04,2.545000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.171
1764190616.823729,1.080625000e-04,2.528750000e-04,2.545000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.139
1764190616.847245,1.080625000e-04,2.528750000e-04,2.545000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.139
1764190616.864017,1.073750000e-04,2.535625000e-04,2.552500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.951
1764190616.884197,1.073750000e-04,2.535625000e-04,2.552500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.951
1764190616.903774,1.073750000e-04,2.535625000e-04,2.552500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.951
1764190616.923436,1.077500000e-04,2.528750000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.079
1764190616.949974,1.077500000e-04,2.528750000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.079
1764190616.964784,1.088750000e-04,2.525625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.320
1764190616.984689,1.088750000e-04,2.525625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.320
1764190617.005396,1.088750000e-04,2.525625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.320
1764190617.025341,1.073750000e-04,2.532500000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.976
1764190617.050771,1.073750000e-04,2.532500000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.976
1764190617.065106,1.070625000e-04,2.525625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.972
1764190617.085478,1.070625000e-04,2.525625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.972
1764190617.105171,1.070625000e-04,2.525625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.972
1764190617.125328,1.080625000e-04,2.525625000e-04,2.575625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.164
1764190617.146944,1.080625000e-04,2.525625000e-04,2.575625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.164
1764190617.164028,1.077500000e-04,2.532500000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.048
1764190617.184000,1.077500000e-04,2.532500000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.048
1764190617.204311,1.077500000e-04,2.532500000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.048
1764190617.223941,1.073750000e-04,2.532500000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.976
1764190617.245634,1.073750000e-04,2.532500000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.976
1764190617.264372,1.080625000e-04,2.535625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.083
1764190617.284770,1.080625000e-04,2.535625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.083
1764190617.304621,1.080625000e-04,2.535625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.083
1764190617.324654,1.088750000e-04,2.528750000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.294
1764190617.346580,1.088750000e-04,2.528750000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.294
1764190617.363815,1.077500000e-04,2.525625000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.104
1764190617.384473,1.077500000e-04,2.525625000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.104
1764190617.405082,1.077500000e-04,2.525625000e-04,2.555625000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.104
1764190617.424308,1.077500000e-04,2.528750000e-04,2.562500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.079
1764190617.445962,1.077500000e-04,2.528750000e-04,2.562500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.079
1764190617.464353,1.080625000e-04,2.528750000e-04,2.548750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.139
1764190617.484365,1.080625000e-04,2.528750000e-04,2.548750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.139
1764190617.505240,1.080625000e-04,2.528750000e-04,2.548750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.139
1764190617.524323,1.080625000e-04,2.532500000e-04,2.558750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.108
1764190617.545930,1.080625000e-04,2.532500000e-04,2.558750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.108
1764190617.564761,1.085000000e-04,2.528750000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.223
1764190617.585048,1.085000000e-04,2.528750000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.223
1764190617.604723,1.085000000e-04,2.528750000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.223
1764190617.624314,1.077500000e-04,2.540000000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.987
1764190617.646112,1.077500000e-04,2.540000000e-04,2.560000000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.987
1764190617.665813,1.085000000e-04,2.535625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.166
1764190617.685088,1.085000000e-04,2.535625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.166
1764190617.704957,1.085000000e-04,2.535625000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.166
1764190617.724680,1.080625000e-04,2.535625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.083
1764190617.745668,1.080625000e-04,2.535625000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.083
1764190617.764732,1.085000000e-04,2.532500000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.192
1764190617.785161,1.085000000e-04,2.532500000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.192
1764190617.805896,1.085000000e-04,2.532500000e-04,2.567500000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,23.192
1764190617.824836,1.070000000e-04,2.540000000e-04,2.563750000e-04,9.983727969e-01,6.042606033e-03,-5.670283843e-02,-1.831092737e-04,22.844
